87.4,57.281,6.681
83.5,58.486,6.4134
87.2,60.015,6.2354
88.9,61.717,5.9769
91.6,62.693,5.6191
92.6,64.241,5.6608
88.5,65.436,5.4052
91.8,66.63,5.1503
94.4,67.876,5.0413
95.1,68.828,4.6762
93.3,69.876,4.615
97.3,71.185,4.0685
96.9,72.184,3.9161
98.5,73.139,3.3769
98.7,74.206,2.9362
99.2,74.756,2.9227
98,75.217,2.7066
99.2,75.737,2.6233
99.4,76.078,2.4446
99.9,76.862,2.1659
88.8,57.602,6.5936
89.8,58.765,6.5164
90.9,60.511,6.5774
90.3,62.72,5.4799
91.9,64.312,6.0142
90.9,65.161,5.5307
93.8,66.527,5.4234
90.9,68.334,5.3247
96.6,69.566,4.621
96.2,70.595,4.4189
95.6,71.705,4.1665
96.5,72.387,3.6021
97.6,73.574,3.6161
98.7,74.655,3.0499
98.2,75.581,2.7036
99.7,76.501,2.3554
99.6,77.105,2.1573
99.8,77.424,1.995
99.8,77.842,2.0028
100,78.393,1.738
87.8,57.613,6.7166
90.8,59.645,6.4972
91.3,61.189,6.6688
91.7,62.482,5.8702
93,64.78,6.1067
92.8,66.003,5.4992
91.8,66.939,5.193
92.2,68.967,4.9986
94.4,69.974,4.4026
95.8,71.354,4.2008
95.5,72.665,3.6928
96.1,73.702,3.4715
97.6,75.038,3.0503
97.3,75.707,2.8194
98,76.84,2.3623
99.9,77.231,1.9636
99.9,78.014,1.8428
99.7,78.296,1.6859
99.9,78.785,1.5965
100,79.282,1.3793
87.4,57.619,6.5801
87.1,59.548,6.4369
92.5,61.827,6.4729
91.1,63.542,5.9252
90.5,65.219,5.9511
92.8,66.419,5.5092
93.2,68.108,5.2152
92.1,69.738,4.885
94,70.494,4.6377
93.4,71.839,4.0263
95.2,73.219,3.6918
95.9,74.438,3.1439
96.3,75.338,2.8989
98.2,76.508,2.5345
98.3,77.385,2.2228
99.5,78.066,1.9354
100,78.645,1.6097
99.5,79.065,1.4747
100,79.496,1.3038
100,79.654,1.1757
86.3,57.342,6.5659
87.9,59.89,6.5554
90.4,62.279,6.2044
90.5,63.957,6.0613
90.9,65.339,6.0013
93.1,66.813,5.4728
95.4,68.483,4.9061
93.6,69.94,4.7823
95,71.107,4.4013
94.3,72.565,3.7435
97.2,73.984,3.0818
96.8,75.152,2.9612
97.7,76.184,2.6684
98.6,77.137,2.4249
99.2,78.053,1.8831
99.6,78.626,1.5317
99.3,79.082,1.4647
99.9,79.389,1.3068
100,79.726,1.2037
100,80.063,1.071
87.9,57.504,6.5272
89.7,59.916,6.3063
91.4,62.226,6.2623
90.9,64.106,5.9114
91.6,65.595,5.6261
90.5,66.753,5.075
92.2,68.853,5.1824
94,70.261,4.4374
94.9,71.49,3.8611
94.7,72.864,3.7218
95.1,74.026,3.315
97.7,75.63,2.753
98.1,76.549,2.5063
99.4,77.653,2.1082
99.8,78.495,1.6193
99.9,79.035,1.4511
100,79.424,1.2378
100,79.833,1.1667
100,80.086,0.98519
100,80.384,0.85472
88,57.633,6.6798
89,59.996,6.3786
90.5,62.076,6.2857
91.7,64.136,6.1649
93,65.99,5.6413
91.6,67.368,5.0926
94.3,69.324,4.7893
94.2,70.806,4.2993
95.2,71.843,4.1328
95.5,73.407,3.6196
95.6,74.579,3.1103
97.9,75.819,2.7663
98.8,77.066,2.184
98.5,77.933,1.978
99.5,78.704,1.6668
100,79.281,1.3461
99.9,79.733,1.209
100,80.027,1.0219
100,80.347,0.80659
100,80.539,0.72559
88.1,57.359,6.6516
89,60.354,6.1923
89.2,62.156,6.0088
90.3,64.285,5.9848
92,66.365,5.5544
